DRTN,SR NO,STATION FROM,STATION TO,RAKE OWNR,LOAD NAME,LOAD C,LOAD L/E,LOAD TYPE,LOAD U,LOCO NO,STTS CD,LOAD LOCN,STATUS TIME/DATE,EXPECTED TIME,CMDT,DVSN,IC,EXAM  STTN,EXAM TIME/DATE,EXAM  TYPE,EXAM  %,VALID UPTO  KM,VALID UPTO  DAYS,REMAINING KM,REMAINING DAYS
AMLA,1,KSV,NKJ,IR,E/BOXN,F,E,BOXN,59,27323,DP,JUH,01/16/2019 2:15,01/16/2019 2:15,,Y,Y,VSPS,12/29/2018 13:00,I,100,,,,
AMLA,2,BRRB,MSPC,IR,LION-HL-TP-MSPC,F,L,BOXNHL,59,23218,DP,JUH,01/16/2019 4:10,01/16/2019 4:10,NCOL,Y,Y,NKJ,01/08/2019 22:20,C,100,7500,35,5599.72,27
AMLA,,,,,,,,,,23812,,,,,,,,,,,,,,,
AMLA,3,SSTP,MSPC,IR,TPMUGAL835-,F,L,BOXNHL,58,13651,DP,JUH,01/16/2019 4:25,01/16/2019 4:25,PHC,Y,Y,DDU,01/04/2019 9:55,C,100,7500,35,3203.79,23
AMLA,,,,,,,,,,14532,,,,,,,,,,,,,,,
AMLA,4,GZB,DDU,IR,GZB-EC,F,E,SHRN,46,32145,DP,JUH,01/16/2019 5:55,01/16/2019 5:55,,Y,Y,BRCY,01/11/2019 8:00,I,100,,,,
AMLA,5,MSTB,NKJ,IR,MSTB/E/BRN,F,E,BRN,44,31383,DP,JUH,01/16/2019 8:37,01/16/2019 8:37,,Y,Y,BRCY,01/10/2019 6:30,I,100,,,,
AMLA,6,TBN,VNCW,IR,VNCW/N,F,L,BCN,42,31906,DP,JUH,01/16/2019 10:20,01/16/2019 10:20,W,Y,Y,ET,01/14/2019 14:50,P,95,,15,,13
AMLA,7,BTI,DDU,IR,E/BOXN,F,E,BOXNHL,60,27992,DP,JUH,01/16/2019 10:21,01/16/2019 10:21,,Y,Y,BTI,01/14/2019 1:40,I,100,,,,
AMLA,8,KPRJ,BSPR,IR,LION-HL-TP161,F,E,BOXNHL,59,27371,DP,JUH,01/16/2019 11:50,01/16/2019 11:50,,Y,Y,BWWL,12/27/2018 23:30,I,100,,,,
AMLA,9,TRR,SMET,IR,PADMINI=33-T,F,L,BCNHL,58,23250,DP,JUH,01/16/2019 12:15,01/16/2019 12:15,R,Y,Y,SMP,01/10/2019 2:05,C,100,7500,35,5479.53,29
AMLA,,,,,,,,,,23536,,,,,,,,,,,,,,,
AMLA,10,FD,TUP,IR,TUP/DOC,F,L,BCN,43,24565,DP,JUH,01/16/2019 13:10,01/16/2019 13:10,DOC,Y,Y,MLDT,01/04/2019 9:00,P,100,,15,,3
AMLA,11,MBPC,BPCL,IR,BPCL/TN,F,L,BTPN,52,28745,DP,JUH,01/16/2019 15:15,01/16/2019 15:15,ATF,Y,Y,ET,01/15/2019 4:00,P,95,,15,,14
AMLA,12,MGG,BSPR,IR,LION-HL-TP-16,F,E,BOXNHL,59,31931,DP,JUH,01/16/2019 15:15,01/16/2019 15:15,,N,Y,NKJ,01/05/2019 12:30,C,100,7500,35,3062.74,24
AMLA,13,UJH,SGWF,IR,SGWF/WHEAT,F,L,BCN,43,23612,DP,JUH,01/16/2019 15:50,01/16/2019 15:50,W,Y,Y,STA,01/09/2019 4:45,P,95,,15,,8
AMLA,,,,,,,,,,23648,,,,,,,,,,,,,,,
AMLA,14,SAIL,DDU,IR,SAIL+GZB,F,E,SHRN,44,31049,DP,JUH,01/16/2019 16:00,01/16/2019 16:00,,N,Y,BKDC,01/11/2019 15:45,I,98,,,,
AMLA,15,BRRB,MSPC,IR,LION-HL-TP-164,F,L,BOXNHL,59,27926,DP,JUH,01/16/2019 17:15,01/16/2019 17:15,NCOL,N,Y,NKJ,12/31/2018 7:40,C,100,7500,35,2023.53,19
AMLA,16,MTSS,DDU,IR,SR-05,F,E,BOXNHL,60,23447,DP,JUH,01/16/2019 17:45,01/16/2019 17:45,,N,Y,BNDM,01/03/2019 0:45,P,99,,15,,2
AMLA,,,,,,,,,,24036,,,,,,,,,,,,,,,
AMLA,17,KPRJ,BSPR,IR,LION-HL-TP-16,F,E,BOXNHL,59,31505,DP,JUH,01/16/2019 18:26,01/16/2019 18:26,,N,Y,NKJ,01/12/2019 18:20,C,100,7500,35,5472.23,31
AMLA,18,FN,NDV,IR,FN-NDV,F,L,BCACM,46,23909,DP,BPL,01/16/2019 16:45,01/16/2019 13:13,AUTO,Y,N,TKD,10/15/2017 20:25,S,97,,,,
AMLA,19,UPSG,NKJ,IR,BIAHL8033-,F,E,BOXNHL,60,27316,ST,ET,01/16/2019 18:00,01/16/2019 15:08,,Y,N,HDCG,11/23/2018 10:50,I,99,,,,
AMLA,20,KPRJ,BSPR,IR,BOXNE/KPRJ,F,E,BOXNHL,60,,AD,KPRJ,01/16/2019 2:29,01/16/2019 16:32,,Y,N,GIMY,01/08/2019 23:50,P,95,,15,,7
AMLA,21,KPRJ,BSPR,IR,BIATP8165,F,E,BOXNHL,59,23840,DP,KPRJ,01/16/2019 19:45,01/16/2019 17:18,,Y,N,BLEY,12/12/2018 15:05,C,100,7500,35,-3315.96,0
AMLA,,,,,,,,,,24035,,,,,,,,,,,,,,,
AMLA,22,TSWS,BSPR,IR,LION-HL-TP-16,F,E,BOXNHL,59,24685,AR,SHRN,01/16/2019 15:40,01/16/2019 18:02,,Y,N,NKJ,12/14/2018 15:30,C,100,7500,35,-5417.07,2
AMLA,23,KPRJ,BSPR,IR,BIATP8817,F,E,BOXNHL,59,23082,DP,GOH,01/16/2019 19:52,01/17/2019 6:58,,Y,N,BLEY,01/02/2019 18:30,C,100,7500,35,2309.19,21
AMLA,,,,,,,,,,23386,,,,,,,,,,,,,,,
AMLA,24,BRRB,MSPC,IR,MSPC,F,L,BOXNHL,59,12481,DP,JBP,01/16/2019 18:30,01/17/2019 12:13,NCOL,Y,N,DDU,12/25/2018 10:05,I,100,,,,
AMLA,,,,,,,,,,13298,,,,,,,,,,,,,,,
AMLA,25,KPRJ,BSPR,IR,LION-HL-TP-160,F,E,BOXNHL,59,31408,AR,NAD,01/16/2019 18:18,,,Y,N,NKJ,01/01/2019 10:20,C,100,7500,35,1376.09,20
AMLA,26,NPSB,BIA,IR,BIAS-8881,F,E,BOXN,59,31531,AR,KNW,01/16/2019 18:10,,,Y,N,BLEY,01/02/2019 18:40,C,100,7500,35,2052.16,21
